Driver,,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Piting
ALO,208,0 days 00:21:51.010000,14,83.903,2,1,,,0 days 00:00:17.218000,0 days 00:00:36.356000,0 days 00:00:30.329000,0 days 00:20:44.325000,0 days 00:21:20.681000,0 days 00:21:51.010000,291.0,318.0,221.0,324.0,False,0,2.0,True,0 days 00:20:27.107000,Alpine,ALO,0.0,True,2021-12-11 13:05:27.291,0.0
ALO,211,0 days 00:36:12.263000,14,83.846,5,2,,,0 days 00:00:17.178000,0 days 00:00:36.331000,0 days 00:00:30.337000,0 days 00:35:05.595000,0 days 00:35:41.926000,0 days 00:36:12.263000,290.0,319.0,221.0,325.0,False,0,6.0,False,0 days 00:34:48.417000,Alpine,ALO,0.0,True,2021-12-11 13:19:48.601,0.0
ALO,214,0 days 00:49:28.975000,14,83.46,8,3,,,0 days 00:00:17.042000,0 days 00:00:36.169000,0 days 00:00:30.249000,0 days 00:48:22.557000,0 days 00:48:58.726000,0 days 00:49:28.975000,292.0,319.0,223.0,324.0,True,0,3.0,True,0 days 00:48:05.515000,Alpine,ALO,0.0,True,2021-12-11 13:33:05.699,0.0
ALO,217,0 days 00:57:44.683000,14,83.623,11,4,,,0 days 00:00:16.985000,0 days 00:00:36.280000,0 days 00:00:30.358000,0 days 00:56:38.045000,0 days 00:57:14.325000,0 days 00:57:44.683000,292.0,314.0,222.0,320.0,False,0,3.0,True,0 days 00:56:21.060000,Alpine,ALO,,True,2021-12-11 13:41:21.244,0.0
BOT,104,0 days 00:21:23.663000,77,83.367,2,1,,,0 days 00:00:17.176000,0 days 00:00:36.064000,0 days 00:00:30.127000,0 days 00:20:17.472000,0 days 00:20:53.536000,0 days 00:21:23.663000,291.0,314.0,225.0,318.0,False,0,2.0,True,0 days 00:20:00.296000,Mercedes,BOT,0.0,True,2021-12-11 13:05:00.480,0.0
BOT,107,0 days 00:35:06.985000,77,83.117,5,2,,,0 days 00:00:17.079000,0 days 00:00:36.047000,0 days 00:00:29.991000,0 days 00:34:00.947000,0 days 00:34:36.994000,0 days 00:35:06.985000,291.0,315.0,221.0,320.0,False,0,6.0,False,0 days 00:33:43.868000,Mercedes,BOT,0.0,True,2021-12-11 13:18:44.052,0.0
BOT,110,0 days 00:46:15.094000,77,83.246,8,3,,,0 days 00:00:17.025000,0 days 00:00:36.079000,0 days 00:00:30.142000,0 days 00:45:08.873000,0 days 00:45:44.952000,0 days 00:46:15.094000,292.0,316.0,224.0,320.0,False,1,3.0,True,0 days 00:44:51.848000,Mercedes,BOT,0.0,True,2021-12-11 13:29:52.032,0.0
BOT,112,0 days 00:49:52.375000,77,83.339,10,3,,,0 days 00:00:17.059000,0 days 00:00:35.992000,0 days 00:00:30.288000,0 days 00:48:46.095000,0 days 00:49:22.087000,0 days 00:49:52.375000,292.0,316.0,223.0,320.0,False,1,5.0,True,0 days 00:48:29.036000,Mercedes,BOT,0.0,True,2021-12-11 13:33:29.220,0.0
BOT,115,0 days 00:58:25.435000,77,83.303,13,4,,,0 days 00:00:17.211000,0 days 00:00:35.871000,0 days 00:00:30.221000,0 days 00:57:19.343000,0 days 00:57:55.214000,0 days 00:58:25.435000,293.0,317.0,223.0,322.0,False,1,3.0,True,0 days 00:57:02.132000,Mercedes,BOT,0.0,True,2021-12-11 13:42:02.316,0.0
BOT,118,0 days 01:09:45.436000,77,83.192,16,5,,,0 days 00:00:17.024000,0 days 00:00:36.182000,0 days 00:00:29.986000,0 days 01:08:39.268000,0 days 01:09:15.450000,0 days 01:09:45.436000,291.0,316.0,225.0,320.0,False,0,3.0,True,0 days 01:08:22.244000,Mercedes,BOT,0.0,True,2021-12-11 13:53:22.428,0.0
BOT,121,0 days 01:17:46.884000,77,83.036,19,6,,,0 days 00:00:17.044000,0 days 00:00:35.968000,0 days 00:00:30.024000,0 days 01:16:40.892000,0 days 01:17:16.860000,0 days 01:17:46.884000,293.0,315.0,225.0,320.0,True,0,3.0,True,0 days 01:16:23.848000,Mercedes,BOT,0.0,True,2021-12-11 14:01:24.032,0.0
GAS,220,0 days 00:18:48.962000,10,83.967,2,1,,,0 days 00:00:17.293000,0 days 00:00:36.222000,0 days 00:00:30.452000,0 days 00:17:42.288000,0 days 00:18:18.510000,0 days 00:18:48.962000,287.0,318.0,222.0,322.0,False,0,2.0,True,0 days 00:17:24.995000,AlphaTauri,GAS,0.0,True,2021-12-11 13:02:25.179,0.0
