,Minisector,Lap,Compound,TyreLife,Speed,Distance,Piting,TrackStatus,Driver,LapTime,Speed-1
0,1,2,1,2.0,258.7307692307692,6574.223333333337,0.0,0.0,3,84.745,258.7307692307692
1,1,2,1,2.0,259.1923076923077,6571.860000000004,0.0,0.0,6,84.318,258.7307692307692
2,1,2,0,2.0,261.2692307692308,6573.7947222222265,0.0,0.0,0,83.68,258.7307692307692
3,1,2,0,2.0,258.75,6578.476666666671,0.0,0.0,1,83.266,258.7307692307692
4,1,2,0,2.0,259.35714285714283,6580.117500000004,0.0,0.0,2,84.253,258.7307692307692
5,1,2,0,2.0,258.0,6580.06666666667,0.0,0.0,4,84.115,258.7307692307692
6,1,2,0,2.0,256.55555555555554,6575.999444444448,0.0,0.0,5,83.367,258.7307692307692
7,1,2,0,2.0,259.85185185185185,6581.497777777782,0.0,0.0,7,83.88,258.7307692307692
8,1,2,0,2.0,259.81481481481484,6581.011666666671,0.0,0.0,8,83.993,258.7307692307692
9,1,2,0,2.0,257.0357142857143,6580.713888888893,0.0,0.0,9,85.046,258.7307692307692
10,2,2,1,2.0,218.11290322580646,7003.208333333338,0.0,0.0,3,84.745,258.7307692307692
11,2,2,1,2.0,219.86885245901638,6996.366944444449,0.0,0.0,6,84.318,259.1923076923077
12,2,2,0,2.0,221.15,7005.00805555556,0.0,0.0,0,83.68,261.2692307692308
13,2,2,0,2.0,221.72881355932202,6998.07305555556,0.0,0.0,1,83.266,258.75
14,2,2,0,2.0,219.4915254237288,6991.926944444449,0.0,0.0,2,84.253,259.35714285714283
15,2,2,0,2.0,218.7704918032787,7006.349722222227,0.0,0.0,4,84.115,258.0
16,2,2,0,2.0,222.28333333333333,7000.506944444449,0.0,0.0,5,83.367,256.55555555555554
17,2,2,0,2.0,219.80327868852459,7005.978888888893,0.0,0.0,7,83.88,259.85185185185185
18,2,2,0,2.0,219.7,7005.790277777782,0.0,0.0,8,83.993,259.81481481481484
19,2,2,0,2.0,216.47540983606558,7004.771111111115,0.0,0.0,9,85.046,257.0357142857143
20,3,2,1,2.0,269.2448979591837,7424.956944444449,0.0,0.0,3,84.745,218.11290322580646
21,3,2,1,2.0,268.26,7428.435277777782,0.0,0.0,6,84.318,219.86885245901638
22,3,2,0,2.0,271.42857142857144,7419.840833333337,0.0,0.0,0,83.68,221.15
23,3,2,0,2.0,270.88,7426.685000000005,0.0,0.0,1,83.266,221.72881355932202
24,3,2,0,2.0,268.26,7423.63555555556,0.0,0.0,2,84.253,219.4915254237288
25,3,2,0,2.0,267.36,7430.011666666671,0.0,0.0,4,84.115,218.7704918032787
26,3,2,0,2.0,269.3469387755102,7420.885000000004,0.0,0.0,5,83.367,222.28333333333333
27,3,2,0,2.0,269.18367346938777,7421.7386111111155,0.0,0.0,7,83.88,219.80327868852459
28,3,2,0,2.0,269.51020408163265,7422.062222222226,0.0,0.0,8,83.993,219.7
29,3,2,0,2.0,267.38775510204084,7426.547500000004,0.0,0.0,9,85.046,216.47540983606558
30,4,2,1,2.0,202.45454545454547,7855.3461111111155,0.0,0.0,3,84.745,269.2448979591837
31,4,2,1,2.0,202.9848484848485,7855.366111111115,0.0,0.0,6,84.318,268.26
32,4,2,0,2.0,207.30769230769232,7851.893611111115,0.0,0.0,0,83.68,271.42857142857144
33,4,2,0,2.0,210.0793650793651,7853.336388888893,0.0,0.0,1,83.266,270.88
34,4,2,0,2.0,207.25,7848.968055555561,0.0,0.0,2,84.253,268.26
35,4,2,0,2.0,202.57575757575756,7852.636666666671,0.0,0.0,4,84.115,267.36
36,4,2,0,2.0,212.6984126984127,7850.924722222226,0.0,0.0,5,83.367,269.3469387755102
37,4,2,0,2.0,204.07575757575756,7855.657222222228,0.0,0.0,7,83.88,269.18367346938777
38,4,2,0,2.0,206.23076923076923,7851.010000000004,0.0,0.0,8,83.993,269.51020408163265
39,4,2,0,2.0,206.3230769230769,7854.109722222226,0.0,0.0,9,85.046,267.38775510204084
40,5,2,1,2.0,239.27272727272728,8267.572222222227,0.0,0.0,3,84.745,202.45454545454547
41,5,2,1,2.0,238.52727272727273,8276.318333333338,0.0,0.0,6,84.318,202.9848484848485
42,5,2,0,2.0,240.12727272727273,8273.586111111115,0.0,0.0,0,83.68,207.30769230769232
43,5,2,0,2.0,241.12727272727273,8274.633611111116,0.0,0.0,1,83.266,210.0793650793651
44,5,2,0,2.0,239.89285714285714,8276.317222222227,0.0,0.0,2,84.253,207.25
45,5,2,0,2.0,239.87272727272727,8271.176944444447,0.0,0.0,4,84.115,202.57575757575756
46,5,2,0,2.0,236.23214285714286,8272.31194444445,0.0,0.0,5,83.367,212.6984126984127
47,5,2,0,2.0,240.1090909090909,8275.758611111116,0.0,0.0,7,83.88,204.07575757575756
48,5,2,0,2.0,238.83636363636364,8272.196111111114,0.0,0.0,8,83.993,206.23076923076923
49,5,2,0,2.0,238.17857142857142,8278.103055555559,0.0,0.0,9,85.046,206.3230769230769
50,6,2,1,2.0,311.4318181818182,8703.199166666673,0.0,0.0,3,84.745,239.27272727272728
51,6,2,1,2.0,308.7142857142857,8689.500833333337,0.0,0.0,6,84.318,238.52727272727273
52,6,2,0,2.0,313.6046511627907,8701.948611111115,0.0,0.0,0,83.68,240.12727272727273
53,6,2,0,2.0,310.1190476190476,8689.544722222228,0.0,0.0,1,83.266,241.12727272727273
54,6,2,0,2.0,309.51162790697674,8704.534722222228,0.0,0.0,2,84.253,239.89285714285714
55,6,2,0,2.0,312.7142857142857,8691.345277777782,0.0,0.0,4,84.115,239.87272727272727
56,6,2,0,2.0,309.6363636363636,8702.272777777784,0.0,0.0,5,83.367,236.23214285714286
57,6,2,0,2.0,311.4651162790698,8701.586666666672,0.0,0.0,7,83.88,240.1090909090909
58,6,2,0,2.0,310.72093023255815,8698.39777777778,0.0,0.0,8,83.993,238.83636363636364
59,6,2,0,2.0,309.5,8687.257500000005,0.0,0.0,9,85.046,238.17857142857142
60,7,2,1,2.0,160.20731707317074,9124.915277777782,0.0,0.0,3,84.745,311.4318181818182
61,7,2,1,2.0,166.1341463414634,9125.133333333337,0.0,0.0,6,84.318,308.7142857142857
62,7,2,0,2.0,163.73170731707316,9127.803055555556,0.0,0.0,0,83.68,313.6046511627907
63,7,2,0,2.0,166.4878048780488,9128.783611111117,0.0,0.0,1,83.266,310.1190476190476
64,7,2,0,2.0,163.49382716049382,9123.33055555556,0.0,0.0,2,84.253,309.51162790697674
65,7,2,0,2.0,165.46341463414635,9123.12666666667,0.0,0.0,4,84.115,312.7142857142857
66,7,2,0,2.0,168.25316455696202,9128.000833333339,0.0,0.0,5,83.367,309.6363636363636
67,7,2,0,2.0,163.80246913580248,9123.097222222228,0.0,0.0,7,83.88,311.4651162790698
68,7,2,0,2.0,164.59756097560975,9124.924722222226,0.0,0.0,8,83.993,310.72093023255815
69,7,2,0,2.0,165.609756097561,9124.020555555562,0.0,0.0,9,85.046,309.5
70,8,2,1,2.0,251.22641509433961,9553.469722222228,0.0,0.0,3,84.745,160.20731707317074
71,8,2,1,2.0,253.25,9544.12416666667,0.0,0.0,6,84.318,166.1341463414634
72,8,2,0,2.0,253.3846153846154,9548.671111111107,0.0,0.0,0,83.68,163.73170731707316
73,8,2,0,2.0,255.42307692307693,9548.836944444452,0.0,0.0,1,83.266,166.4878048780488
74,8,2,0,2.0,250.58490566037736,9548.180277777781,0.0,0.0,2,84.253,163.49382716049382
75,8,2,0,2.0,255.28846153846155,9547.295000000004,0.0,0.0,4,84.115,165.46341463414635
76,8,2,0,2.0,250.33962264150944,9545.444166666672,0.0,0.0,5,83.367,168.25316455696202
77,8,2,0,2.0,254.03773584905662,9552.98083333334,0.0,0.0,7,83.88,163.80246913580248
78,8,2,0,2.0,251.8653846153846,9543.024166666672,0.0,0.0,8,83.993,164.59756097560975
79,8,2,0,2.0,250.54716981132074,9550.15972222223,0.0,0.0,9,85.046,165.609756097561
80,9,2,1,2.0,299.46666666666664,9976.741388888893,0.0,0.0,3,84.745,251.22641509433961
81,9,2,1,2.0,294.4782608695652,9977.043611111114,0.0,0.0,6,84.318,253.25
82,9,2,0,2.0,303.02272727272725,9969.995555555553,0.0,0.0,0,83.68,253.3846153846154
83,9,2,0,2.0,304.6363636363636,9974.870555555564,0.0,0.0,1,83.266,255.42307692307693
84,9,2,0,2.0,298.90909090909093,9968.378055555559,0.0,0.0,2,84.253,250.58490566037736
