,Minisector,Lap,Compound,TyreLife,Speed,Distance,Piting,TrackStatus,Driver,LapTime,Speed-1
0,1,2,1,2.0,253.0,6574.823888888893,0.0,0.0,9,93.38,253.0
1,1,2,1,5.0,251.8148148148148,6573.623611111115,0.0,0.0,1,88.791,253.0
2,1,2,1,6.0,251.78571428571428,6581.626666666671,0.0,0.0,8,91.494,253.0
3,1,2,1,7.0,253.0,6576.91055555556,0.0,0.0,5,91.738,253.0
4,1,2,0,5.0,250.62962962962962,6570.5702777777815,0.0,0.0,0,89.103,253.0
5,1,2,0,5.0,250.44444444444446,6571.892500000004,0.0,0.0,2,89.507,253.0
6,1,2,0,5.0,252.5185185185185,6570.5383333333375,0.0,0.0,3,91.14,253.0
7,1,2,0,5.0,247.35714285714286,6571.11055555556,0.0,0.0,4,92.138,253.0
8,1,2,0,5.0,251.59259259259258,6581.126944444449,0.0,0.0,6,90.325,253.0
9,1,2,0,5.0,252.03571428571428,6572.197222222226,0.0,0.0,7,90.963,253.0
10,2,2,1,2.0,189.5,7002.174722222226,0.0,0.0,9,93.38,253.0
11,2,2,1,5.0,211.328125,7002.866944444449,0.0,0.0,1,88.791,251.8148148148148
12,2,2,1,6.0,194.53731343283582,6995.746944444449,0.0,0.0,8,91.494,251.78571428571428
13,2,2,1,7.0,199.44117647058823,7005.447222222226,0.0,0.0,5,91.738,253.0
14,2,2,0,5.0,203.95454545454547,7005.096944444448,0.0,0.0,0,89.103,250.62962962962962
15,2,2,0,5.0,200.9402985074627,7003.396388888893,0.0,0.0,2,89.507,250.44444444444446
16,2,2,0,5.0,199.6764705882353,7006.370000000004,0.0,0.0,3,91.14,252.5185185185185
17,2,2,0,5.0,195.05797101449275,7005.11805555556,0.0,0.0,4,92.138,247.35714285714286
18,2,2,0,5.0,201.4090909090909,6998.6905555555595,0.0,0.0,6,90.325,251.59259259259258
19,2,2,0,5.0,199.23880597014926,7001.565000000004,0.0,0.0,7,90.963,252.03571428571428
20,3,2,1,2.0,250.30188679245282,7429.578055555559,0.0,0.0,9,93.38,189.5
21,3,2,1,5.0,255.6078431372549,7418.068888888893,0.0,0.0,1,88.791,211.328125
22,3,2,1,6.0,255.59615384615384,7420.579722222226,0.0,0.0,8,91.494,194.53731343283582
23,3,2,1,7.0,253.7450980392157,7422.033055555559,0.0,0.0,5,91.738,199.44117647058823
24,3,2,0,5.0,256.78846153846155,7429.849444444449,0.0,0.0,0,89.103,203.95454545454547
25,3,2,0,5.0,257.2352941176471,7417.126111111115,0.0,0.0,2,89.507,200.9402985074627
26,3,2,0,5.0,258.3333333333333,7430.4261111111155,0.0,0.0,3,91.14,199.6764705882353
27,3,2,0,5.0,256.2549019607843,7418.701944444449,0.0,0.0,4,92.138,195.05797101449275
28,3,2,0,5.0,255.55769230769232,7426.415555555559,0.0,0.0,6,90.325,201.4090909090909
29,3,2,0,5.0,256.0,7428.308888888893,0.0,0.0,7,90.963,199.23880597014926
30,4,2,1,2.0,171.78205128205127,7855.140000000003,0.0,0.0,9,93.38,250.30188679245282
